Date	Heure	h1Neuville
25-Aug-2009	00:00:00	2.651
25-Aug-2009	01:00:00	1.961
25-Aug-2009	02:00:00	1.371
25-Aug-2009	03:00:00	0.811
25-Aug-2009	04:00:00	0.291
25-Aug-2009	05:00:00	-0.189
25-Aug-2009	06:00:00	-0.579
25-Aug-2009	07:00:00	0.121
25-Aug-2009	08:00:00	1.051
25-Aug-2009	09:00:00	1.961
25-Aug-2009	10:00:00	2.771
25-Aug-2009	11:00:00	2.941
25-Aug-2009	12:00:00	2.351
25-Aug-2009	13:00:00	1.741
25-Aug-2009	14:00:00	1.171
25-Aug-2009	15:00:00	0.611
25-Aug-2009	16:00:00	0.091
25-Aug-2009	17:00:00	-0.379
25-Aug-2009	18:00:00	-0.779
25-Aug-2009	19:00:00	-0.349
25-Aug-2009	20:00:00	0.681
25-Aug-2009	21:00:00	1.601
25-Aug-2009	22:00:00	2.571
25-Aug-2009	23:00:00	3.091
26-Aug-2009	00:00:00	2.811
